Index,Name,Team,LP,GP,W%,OE Rating,Split,,,,,
209,Pynt,NR,15,8,0.38,B,Spring 1,,,,,
210,Wally,YU,10,2,0.5,B,Spring 1,,,,,
211,Seiya,ISG,15,8,0.38,B,Spring 1,,,,,
212,FIare,ISG,15,5,0.4,B,Spring 1,,,,,
213,Crimson,-,5,2,0.5,B,Spring 1,,,,,
214,Dragonminkim,BSC,20,14,0.36,C+,Spring 1,,,,,
215,Lunar2,3P,5,2,0.5,B,Spring 1,,,,,
216,Bluster,-,10,2,0.5,B,Spring 1,,,,,
217,Plugo,GET,10,5,0.4,B,Spring 1,,,,,
218,Munchy,3P,10,5,0.4,B,Spring 1,,,,,
219,sahori,UCI,20,8,0.38,C+,Spring 1,,,,,
220,Firetheft,SN,15,5,0.4,B,Spring 1,,,,,
221,Griffin,WC,25,50,0.34,C,Spring 1,,,,,
222,Zamudo,3P,40,24,0.33,C,Spring 1,,,,,
223,Links,UWO,0,2,0,B,Spring 1,,,,,
224,Sophist Sage,BSC,0,3,0.33,B,Spring 1,,,,,
225,Kind Jungle,MU,0,9,0.33,B-,Spring 1,,,,,
226,Yen,ISU,0,11,0.18,C,Spring 1,,,,,
227,DrewDozer,ISU,10,3,0.33,B,Spring 1,,,,,
228,Snow2,WCD,0,4,0,C,Spring 1,,,,,
229,MikeYeung,3P,0,3,0,B-,Spring 1,,,,,
230,Nemesis9,TA,0,12,0.17,C-,Spring 1,,,,,
231,Braine,BSC,0,7,0.29,C+,Spring 1,,,,,
232,Zothve,AK,15,86,0.31,C-,Spring 1,,,,,
233,Mist,100X,0,1,0,B,Spring 1,,,,,
234,Straight,AZE,0,12,0.33,B-,Spring 1,,,,,
235,Cozy,TG,0,1,0,B,Spring 1,,,,,
236,Avano,WIN,5,10,0.3,B-,Spring 1,,,,,
237,Perry,EGP,15,15,0.33,C+,Spring 1,,,,,
238,Aizo,MU,0,5,0.2,B-,Spring 1,,,,,
239,Vex,WIN,0,25,0.32,B-,Spring 1,,,,,
240,Daption,EGP,0,7,0.14,B-,Spring 1,,,,,
241,Leemo,-,0,12,0.25,C+,Spring 1,,,,,
242,Meech,IMA,15,9,0.22,C,Spring 1,,,,,
243,Brayaron,INF,0,16,0.25,C,Spring 1,,,,,
244,Clyde,HU,10,29,0.24,C-,Spring 1,,,,,
245,Tuesday,BOG,10,4,0.25,B-,Spring 1,,,,,
246,Mordio,WIN,0,19,0.26,C,Spring 1,,,,,
247,Blazze,NOT,0,4,0.25,B-,Spring 1,,,,,
248,Odd Orange,MU,0,14,0.14,C-,Spring 1,,,,,
249,Zerito,XTN,25,39,0.26,C-,Spring 1,,,,,
250,Tyr,XTN,0,10,0.2,B-,Spring 1,,,,,
251,Mash,CLG,0,3,0,C+,Spring 1,,,,,
252,Biofrost,DIG,0,8,0.25,B-,Spring 1,,,,,
253,Iconic,GG,0,2,0,B-,Spring 1,,,,,
254,GRIMM,WIN,0,9,0,C-,Spring 1,,,,,
255,Tempos,ISU,0,7,0.29,B-,Spring 1,,,,,
256,Azog,MU,0,31,0.29,C-,Spring 1,,,,,
257,SolidSnake,INF,0,12,0.08,C,Spring 1,,,,,
258,animegirl,IMA,15,9,0.33,C+,Spring 1,,,,,
259,SiddyWiddy,GTC,0,2,0,B-,Spring 1,,,,,
260,Pseudo,ASU,0,5,0,C,Spring 1,,,,,
261,Rapid,WCA,0,9,0.11,C,Spring 1,,,,,
262,SkyTec,EG,5,52,0.29,C-,Spring 1,,,,,
263,LE0,EGP,0,5,0.2,B-,Spring 1,,,,,
264,Censored,NT,20,9,0.33,C+,Spring 1,,,,,
265,FS,-,0,10,0.1,C,Spring 1,,,,,
266,Blossoms,-,5,14,0.29,C+,Spring 1,,,,,
267,Follow,PAM,0,10,0.3,B-,Spring 1,,,,,
268,Daiky,R7,35,27,0.33,C+,Spring 1,,,,,
269,Winsome,C9,0,3,0,B-,Spring 1,,,,,
1,CoreJJ,TL,160,25,0.76,S,Spring 2,,,,,
2,Malice,C9,155,29,0.69,S,Spring 2,,,,,
3,Josedeodo,FLY,125,23,0.7,S,Spring 2,,,,,
4,Bvoy,EST,125,23,0.7,S,Spring 2,,,,,
5,Dhokla,CLG,120,30,0.6,A,Spring 2,,,,,
6,Copy,C9,125,25,0.64,A+,Spring 2,,,,,
7,Kaori,EG,110,20,0.7,A+,Spring 2,,,,,
8,Breezy,CLG,95,26,0.58,A,Spring 2,,,,,
9,Jensen,-,95,20,0.65,S,Spring 2,,,,,
10,jojopyun,EG,95,32,0.53,B+,Spring 2,,,,,
11,Bwipo,TL,90,15,0.73,A+,Spring 2,,,,,
12,Arrow,IMT,90,18,0.67,A+,Spring 2,,,,,
13,Triple,CLG,85,22,0.59,A-,Spring 2,,,,,
14,Yukino,NOT,85,16,0.69,A,Spring 2,,,,,
15,Lost,GG,90,13,0.77,A+,Spring 2,,,,,
16,Shenyi,TSM,85,26,0.54,B,Spring 2,,,,,
17,Palafox,CLG,80,20,0.6,A,Spring 2,,,,,
18,Diamond,FLY,75,12,0.75,S,Spring 2,,,,,
19,Xerxe,IMT,75,12,0.75,S,Spring 2,,,,,
20,Isles,C9,80,21,0.57,A-,Spring 2,,,,,
21,Poome,CLG,65,8,0.88,A+,Spring 2,,,,,
22,Svmmy,-,75,20,0.55,B,Spring 2,,,,,
23,Tyr,XTN,65,20,0.55,A,Spring 2,,,,,
24,cody,INF,65,11,0.73,A+,Spring 2,,,,,
25,Summit,C9,65,17,0.59,A+,Spring 2,,,,,
26,Tomo,FLY,75,21,0.52,B-,Spring 2,,,,,
27,Luger,CLG,60,18,0.56,A-,Spring 2,,,,,
28,Takeover,TSM,65,27,0.48,B+,Spring 2,,,,,
29,ry0ma,GG,60,9,0.78,A,Spring 2,,,,,
30,Armao,TL,65,15,0.6,S,Spring 2,,,,,
31,Impact,EG,60,10,0.7,A,Spring 2,,,,,
32,toucouille,FLY,55,19,0.53,A,Spring 2,,,,,
33,Keith,-,60,25,0.48,C+,Spring 2,,,,,
34,FBI,100,50,8,0.75,A,Spring 2,,,,,
35,Johnsun,FLY,50,11,0.64,A,Spring 2,,,,,
36,Lourlo,-,50,20,0.5,B+,Spring 2,,,,,
37,SoHwan,R7,55,17,0.53,B+,Spring 2,,,,,
38,Olleh,GG,55,27,0.44,A-,Spring 2,,,,,
39,Zerito,XTN,65,12,0.58,B,Spring 2,,,,,
40,Haeri,TL,45,12,0.58,A,Spring 2,,,,,
41,Destiny,IMT,45,27,0.44,C+,Spring 2,,,,,
42,Concept,IMT,45,12,0.58,B+,Spring 2,,,,,
43,Mia,EST,50,27,0.44,C+,Spring 2,,,,,
44,Hans sama,TL,50,18,0.5,B,Spring 2,,,,,
45,RJS,BOG,70,33,0.42,C,Spring 2,,,,,
46,Leemo,-,40,13,0.54,A-,Spring 2,,,,,
47,Kumo,FLY,50,22,0.45,C,Spring 2,,,,,
48,Seiya,ISG,45,13,0.54,B,Spring 2,,,,,
49,Jenkins,CLG,40,13,0.54,A-,Spring 2,,,,,
50,Chime,GG,40,7,0.71,A,Spring 2,,,,,
51,ADD,ISG,40,7,0.71,A,Spring 2,,,,,
52,Pridestalker,GG,50,22,0.45,B,Spring 2,,,,,
53,Contractz,CLG,40,7,0.71,A-,Spring 2,,,,,
54,DARKWINGS,DIG,40,7,0.71,A,Spring 2,,,,,
55,Cepted,R7,40,11,0.55,B+,Spring 2,,,,,
56,Eyla,TL,40,5,0.8,A,Spring 2,,,,,
57,Revenge,IMT,35,20,0.45,B+,Spring 2,,,,,
58,Prismal,CLG,35,14,0.5,B-,Spring 2,,,,,
59,Sketch,EGP,45,11,0.55,B+,Spring 2,,,,,
60,River,DIG,40,8,0.63,B+,Spring 2,,,,,
61,Kenvi,100,40,8,0.63,A-,Spring 2,,,,,
62,PowerOfEvil,IMT,35,8,0.63,A-,Spring 2,,,,,
63,Brayaron,INF,35,11,0.55,A-,Spring 2,,,,,
64,Philip,FLY,40,20,0.45,C+,Spring 2,,,,,
65,Nightstar,TA,40,12,0.5,B,Spring 2,,,,,
66,Berserker,C9,40,12,0.5,B,Spring 2,,,,,
67,Zven,C9,40,24,0.42,C+,Spring 2,,,,,
68,Bradley,TL,35,15,0.47,B-,Spring 2,,,,,
69,FakeGod,DIG,30,9,0.56,A-,Spring 2,,,,,
70,Pobelter,-,30,6,0.67,A,Spring 2,,,,,
71,RoseThorn,CLG,50,18,0.44,C,Spring 2,,,,,
72,Yuuji,FLY,35,15,0.47,B-,Spring 2,,,,,
73,Pretty,IMT,25,10,0.5,B,Spring 2,,,,,
74,Bejjaniii,BSC,25,4,0.75,B+,Spring 2,,,,,
75,Bjergsen,TL,25,4,0.75,A-,Spring 2,,,,,
76,Santorin,TL,25,10,0.5,B+,Spring 2,,,,,
77,WildTurtle,IMT,30,7,0.57,B,Spring 2,,,,,
78,Tactical,TSM,20,8,0.5,B,Spring 2,,,,,
79,Keel,100X,20,14,0.43,B,Spring 2,,,,,
80,Ablazeolive,GG,20,11,0.45,B,Spring 2,,,,,
81,Ackerman,INF,20,5,0.6,A-,Spring 2,,,,,
82,Leza,EST,25,8,0.5,B,Spring 2,,,,,
83,eXyu,DIG,20,14,0.43,B,Spring 2,,,,,
84,Acce,EST,30,14,0.43,B,Spring 2,,,,,
85,Spirax,FLY,20,2,1,A-,Spring 2,,,,,
86,Tenacity,100,25,8,0.5,B,Spring 2,,,,,
87,Yerikan,EST,40,17,0.41,C+,Spring 2,,,,,
88,Camilonicolau,XTN,35,17,0.41,C,Spring 2,,,,,
89,Ssumday,100,15,3,0.67,B+,Spring 2,,,,,
90,aphromoo,FLY,20,3,0.67,B+,Spring 2,,,,,
91,Neo,DIG,30,9,0.44,B,Spring 2,,,,,
92,Doublelift,-,25,21,0.38,C+,Spring 2,,,,,
93,Blaber,C9,20,9,0.44,B-,Spring 2,,,,,
94,Inori,BOG,15,12,0.42,B,Spring 2,,,,,
95,Straight,AZE,15,3,0.67,B+,Spring 2,,,,,
96,Instinct,TSM,20,12,0.42,B,Spring 2,,,,,
97,SkyTec,EG,10,1,1,A-,Spring 2,,,,,
98,Warangelus,GET,15,4,0.5,B,Spring 2,,,,,
99,Closer,100,25,10,0.4,C,Spring 2,,,,,
100,Eclipse,DIG,20,4,0.5,B,Spring 2,,,,,
101,Jishuka,NOT,10,1,1,B+,Spring 2,,,,,
102,Tomio,EG,15,22,0.36,C+,Spring 2,,,,,
103,SolidSnake,INF,10,4,0.5,B,Spring 2,,,,,
104,Froststrike,ISG,20,4,0.5,B,Spring 2,,,,,
105,Strompest,SLU,55,25,0.36,C-,Spring 2,,,,,
106,Crazy Goose,WCA,10,13,0.38,C+,Spring 2,,,,,
